Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,leaf1,Ethernet1,mlag_peer,leaf2,Ethernet1,True
leaf,leaf1,Ethernet2,mlag_peer,leaf2,Ethernet2,True
leaf,leaf1,Ethernet3,spine,spine1,Ethernet2,True
leaf,leaf1,Ethernet4,spine,spine2,Ethernet2,True
leaf,leaf2,Ethernet1,mlag_peer,leaf1,Ethernet1,True
leaf,leaf2,Ethernet2,mlag_peer,leaf1,Ethernet2,True
leaf,leaf2,Ethernet3,spine,spine1,Ethernet3,True
leaf,leaf2,Ethernet4,spine,spine2,Ethernet3,True
leaf,leaf3,Ethernet1,mlag_peer,leaf4,Ethernet1,True
leaf,leaf3,Ethernet2,mlag_peer,leaf4,Ethernet2,True
leaf,leaf3,Ethernet3,spine,spine1,Ethernet4,True
leaf,leaf3,Ethernet4,spine,spine2,Ethernet4,True
leaf,leaf4,Ethernet1,mlag_peer,leaf3,Ethernet1,True
leaf,leaf4,Ethernet2,mlag_peer,leaf3,Ethernet2,True
leaf,leaf4,Ethernet3,spine,spine1,Ethernet5,True
leaf,leaf4,Ethernet4,spine,spine2,Ethernet5,True
spine,spine1,Ethernet1,mlag_peer,spine2,Ethernet1,True
spine,spine1,Ethernet2,leaf,leaf1,Ethernet3,True
spine,spine1,Ethernet3,leaf,leaf2,Ethernet3,True
spine,spine1,Ethernet4,leaf,leaf3,Ethernet3,True
spine,spine1,Ethernet5,leaf,leaf4,Ethernet3,True
spine,spine2,Ethernet1,mlag_peer,spine1,Ethernet1,True
spine,spine2,Ethernet2,leaf,leaf1,Ethernet4,True
spine,spine2,Ethernet3,leaf,leaf2,Ethernet4,True
spine,spine2,Ethernet4,leaf,leaf3,Ethernet4,True
spine,spine2,Ethernet5,leaf,leaf4,Ethernet4,True
